Conference Chairs; Roman Barták, Charles University, Czech Republic
                 ; AndreA Orlandini, CNR-ISTC, Italy
;
Program Chairs; Sven Koenig, USC, USA
              ; Roni Stern, Ben Gurion University, Israel
              ; Mauro Vallati, University of Huddersfield, UK
;
Local Arrangements Chair; Milena Zeithamlová, Action M Agency, Czech Republic
;
Robotics Track Chairs; Tim Niemueller, Intrinsic Innovation, Germany
                         ; Ron Petrick, Heriot-Watt University, UK
;
Industry and Applications Track Chairs; Daniel Harabor, Monash University, Australia
                         ; Hana Rudová, Masaryk University, Czech Republic
;
Planning and Learning Track Chairs; Alan Fern, Oregon State University, USA
                                  ; Eva Onaindia, UPV, Spain
;
System Demo Chairs; Tiago S. Vaquero, NASA, USA
;
Workshop & Tutorial Chairs; Simon Parkinson, University of Huddersfield, UK
                          ; Mark Roberts, Naval Research Laboratory, USA
;
Diversity and Inclusion Chairs; Iman Awaad, Bonn-Rhein-Sieg University, Germany
                          ; Masoumeh Iran Mansouri, University of Birmingham, UK
;
Doctoral Consortium Chairs; Gabriella Cortellessa, CNR-ISTC, Italy
                          ; Enrico Scala, University of Brescia, Italy
;
Sponsorship Chairs; Robert Goldman, SIFT, USA
                  ; Hankz Hankui Zhuo, Sun Yat-Sen University of China, China
                  ; Neil Yorke-Smith, TU Delft, Netherlands
;
Remote Participation Coordinator; Lukáš Chrpa, Czech Technical University, Czech Republic
;
Publicity Chair; Alessandro Umbrico, CNR-ISTC, Italy
;
Advisors; Lee McCluskey, University of Huddersfield, UK
        ; Amedeo Cesta, CNR-ISTC, Italy
